smiles,FPK
O1CCOC1c1cc(Br)ccc1,386.15
C1COC(c2cccc(Br)c2)O1,386.15
Brc1cccc(I)c1,378.45
c1c(cc(cc1)I)Br,378.45
c1cc(Br)cc(c1)I,378.45
c1c(cccc1I)Br,378.45
c1(cccc(I)c1)Br,378.45
c1ccc(Br)cc1I,378.45
c1c(cc(I)cc1)Br,378.45
Brc1cccc(c1)I,378.45
Brc1cccc(I)c1,378.45
c1ccc(Br)cc1I,378.45
Brc1cccc2ccccc12,404.0
c12c(cccc2)c(Br)ccc1,404.0
c1cc2c(cccc2Br)cc1,404.0
c1c(Br)c2ccccc2cc1,404.0
Brc1c2ccccc2ccc1,404.0
c12c(cccc1)cccc2Br,404.0
c1cc2cccc(c2cc1)Br,404.0
c12c(cccc2)c(Br)ccc1,404.0
c1ccc2c(cccc2)c1Br,404.0
c1(c2ccccc2ccc1)Br,404.0
Brc1ccccc1,324.17970833333334
c1ccc(Br)cc1,324.17970833333334
Brc1ccccc1,324.17970833333334
c1cc(ccc1)Br,324.17970833333334
Brc1ccccc1,324.17970833333334
c1ccccc1Br,324.17970833333334
Brc1ccccc1,324.17970833333334
c1ccc(Br)cc1,324.17970833333334
Brc1ccccc1,324.17970833333334
c1ccc(cc1)Br,324.17970833333334
Brc1ccccc1-c1ccccc1,406.85
c1c(cccc1)-c1ccccc1Br,406.85
c1ccccc1-c1c(cccc1)Br,406.85
c1cccc(-c2c(cccc2)Br)c1,406.85
c1cc(ccc1)-c1c(cccc1)Br,406.85
c1c(c(ccc1)Br)-c1ccccc1,406.85
c1c(c(ccc1)Br)-c1ccccc1,406.85
c1(c(cccc1)-c1ccccc1)Br,406.85
c1cc(ccc1)-c1ccccc1Br,406.85
c1cccc(-c2ccccc2Br)c1,406.85
Brc1ccccc1Br,368.65
c1(c(Br)cccc1)Br,368.65
Brc1c(cccc1)Br,368.65
c1cc(c(Br)cc1)Br,368.65
Brc1ccccc1Br,368.65
c1(Br)ccccc1Br,368.65
c1(ccccc1Br)Br,368.65
c1c(c(Br)ccc1)Br,368.65
c1(ccccc1Br)Br,368.65
c1cc(Br)c(Br)cc1,368.65
Brc1ccccc1I,377.95
Ic1ccccc1Br,377.95
c1cccc(c1Br)I,377.95
c1c(c(ccc1)I)Br,377.95
c1(Br)c(cccc1)I,377.95
Ic1ccccc1Br,377.95
c1c(I)c(Br)ccc1,377.95
Brc1ccccc1I,377.95
c1(ccccc1Br)I,377.95
Ic1ccccc1Br,377.95
Brc1ccccn1,327.4166666666667
c1ccnc(Br)c1,327.4166666666667
c1c(Br)nccc1,327.4166666666667
c1cnc(Br)cc1,327.4166666666667
c1(Br)ncccc1,327.4166666666667
n1c(cccc1)Br,327.4166666666667
c1c(nccc1)Br,327.4166666666667
c1cc(Br)ncc1,327.4166666666667
c1cnc(cc1)Br,327.4166666666667
c1ccnc(Br)c1,327.4166666666667
Brc1cccnc1,324.5
c1ncc(cc1)Br,324.5
c1(Br)cnccc1,324.5
n1cccc(Br)c1,324.5
c1ccc(Br)cn1,324.5
c1ncc(Br)cc1,324.5
c1(cccnc1)Br,324.5
c1cncc(Br)c1,324.5
c1c(cncc1)Br,324.5
Brc1cnccc1,324.5
Brc1cccs1,320.202
c1csc(c1)Br,320.202
Brc1sccc1,320.202
s1cccc1Br,320.202
s1c(ccc1)Br,320.202
s1cccc1Br,320.202
c1sc(Br)cc1,320.202
c1cc(sc1)Br,320.202
c1csc(Br)c1,320.202
c1cc(sc1)Br,320.202
Brc1ccoc1,276.45
c1c(coc1)Br,276.45
c1c(cco1)Br,276.45
c1(Br)ccoc1,276.45
c1cocc1Br,276.45
c1c(Br)cco1,276.45
c1occc1Br,276.45
c1c(Br)coc1,276.45
c1(Br)cocc1,276.45
Brc1cocc1,276.45
Brc1ccsc1,329.85
c1c(ccs1)Br,329.85
c1sccc1Br,329.85
c1(cscc1)Br,329.85
c1(Br)cscc1,329.85
Brc1ccsc1,329.85
c1c(Br)ccs1,329.85
c1(ccsc1)Br,329.85
s1cc(Br)cc1,329.85
c1(ccsc1)Br,329.85
Brc1ccsc1Br,324.85
Brc1c(Br)scc1,324.85
c1sc(c(c1)Br)Br,324.85
c1(c(ccs1)Br)Br,324.85
c1(c(Br)scc1)Br,324.85
Brc1sccc1Br,324.85
Brc1c(scc1)Br,324.85
Brc1ccsc1Br,324.85
c1sc(Br)c(Br)c1,324.85
Brc1c(Br)ccs1,324.85
Brc1cn[nH]c1,381.15
c1c(Br)c[nH]n1,381.15
n1cc(c[nH]1)Br,381.15
c1c(Br)cn[nH]1,381.15
c1n[nH]cc1Br,381.15
c1c(cn[nH]1)Br,381.15
c1(cn[nH]c1)Br,381.15
c1[nH]ncc1Br,381.15
c1[nH]ncc1Br,381.15
c1n[nH]cc1Br,381.15
Brc1cnc2ccccc2c1,393.75
c1ccc2ncc(cc2c1)Br,393.75
Brc1cnc2ccccc2c1,393.75
c1c2ccccc2ncc1Br,393.75
c12ccccc1cc(cn2)Br,393.75
c1cc2ncc(Br)cc2cc1,393.75
Brc1cc2c(cccc2)nc1,393.75
c1cc2ncc(cc2cc1)Br,393.75
c1c2ccccc2ncc1Br,393.75
c1c(Br)cnc2c1cccc2,393.75
Brc1cncc(Br)c1,357.45
n1cc(Br)cc(Br)c1,357.45
Brc1cncc(Br)c1,357.45
c1c(Br)cc(Br)cn1,357.45
c1(Br)cc(cnc1)Br,357.45
c1(Br)cncc(Br)c1,357.45
c1(cncc(c1)Br)Br,357.45
n1cc(cc(Br)c1)Br,357.45
c1(cc(Br)cnc1)Br,357.45
Brc1cc(cnc1)Br,357.45
Brc1cscc1Br,363.55
s1cc(Br)c(Br)c1,363.55
Brc1c(Br)csc1,363.55
c1c(c(Br)cs1)Br,363.55
s1cc(Br)c(c1)Br,363.55
Brc1cscc1Br,363.55
c1scc(c1Br)Br,363.55
s1cc(Br)c(c1)Br,363.55
c1scc(c1Br)Br,363.55
Brc1c(csc1)Br,363.55
Brc1nc(Br)c(Br)[nH]1,469.65
c1(c(Br)nc([nH]1)Br)Br,469.65
Brc1nc(c(Br)[nH]1)Br,469.65
Brc1[nH]c(nc1Br)Br,469.65
c1(Br)c(Br)nc(Br)[nH]1,469.65
Brc1nc(Br)c(Br)[nH]1,469.65
c1(Br)c(Br)nc([nH]1)Br,469.65
[nH]1c(Br)nc(c1Br)Br,469.65
[nH]1c(nc(Br)c1Br)Br,469.65
Brc1c([nH]c(n1)Br)Br,469.65
Brc1nc[nH]c1Br,461.95
Brc1[nH]cnc1Br,461.95
c1(Br)c(nc[nH]1)Br,461.95
Brc1nc[nH]c1Br,461.95
